2012, Swimming, Netherlands, gold, 1
2008, Football / Soccer, Hungary, gold, 4
2016, Rowing, Austria, gold, 1
2012, Cycling, Russia, gold, 3
2004, Rowing, United States, gold, 3
2012, Athletics, Great Britain, bronze, 4
2004, Modern Pentathlon, Czechoslovakia, silver, 2
2004, Modern Pentathlon, Poland, silver, 4
2008, Volleyball, Canada, silver, 3
2008, Rowing, Czechoslovakia, silver, 1
2004, Football / Soccer, Turkey, gold, 0
2004, Synchronized Swimming, Germany, bronze, 2
2004, Cycling, Czechoslovakia, gold, 2
2016, Gymnastics, Great Britain, bronze, 6
2004, Volleyball, Cuba, gold, 5
2008, Rowing, Russia, silver, 2
2016, Modern Pentathlon, China, silver, 3
2004, Gymnastics, Czechoslovakia, bronze, 0
2016, Swimming, Poland, b, 2
2012, Cycling, Commonwealth of Independent States, bronze, 0
2012, Rowing, China, gold, 6
2016, Football / Soccer, Austria, gold, 6
2008, Modern Pentathlon, Switzerland, bronze, 5
2008, Cycling, Poland, gold, 4
2016, Synchronized Swimming, Cuba, silver, 4
2012, Rowing, Italy, silver, 6
2008, Synchronized Swimming, Switzerland, silver, 6
2008, Volleyball, Switzerland, silver, 0
2008, Swimming, Netherlands, gold, 1
2016, Football / Soccer, Finland, g, 6
2016, Athletics, Germany, bronze, 2
2016, Volleyball, China, gold, 1
2016, Gymnastics, Switzerland, bronze, 0
2004, Tennis, West Germany, silver, 0
2004, Modern Pentathlon, Bulgaria, gold, 3
2004, Athletics, South Korea, bronze, 6
2016, Rowing, Soviet Union, bronze, 0
2016, Volleyball, Japan, bronze, 4
2012, Tennis, Bulgaria, gold, 3
2012, Modern Pentathlon, South Korea, silver, 5
2012, Football / Soccer, Finland, gold, 1
2008, Gymnastics, Romania, bronze, 1
2012, Tennis, Italy, bronze, 1
2004, Gymnastics, Switzerland, bronze, 2
2012, Football / Soccer, Italy, bronze, 2
2004, Gymnastics, Japan, silver, 1
2012, Football / Soccer, Germany, bronze, 5
2016, Modern Pentathlon, Poland, bronze, 3
2008, Athletics, China, silver, 4
2016, Synchronized Swimming, United States, gold, 0
2004, Volleyball, Poland, silver, 0
2012, Swimming, Hungary, silver, 3
2004, Rowing, Turkey, bronze, 0
2016, Swimming, Canada, bronze, 4
2012, Cycling, Switzerland, gold, 5
2016, Cycling, Hungary, gold, 6
2008, Cycling, Romania, silver, 0
12, Modern Pentathlon, Hungary, bronze, 5
2012, Swimming, Australia, silver, 3
2016, Synchronized Swimming, Great Britain, gold, 0
2016, Modern Pentathlon, Commonwealth of Independent States, silver, 2
2004, Modern Pentathlon, Germany, bronze, 3
2016, Rowing, Romania, silver, 5
2008, Athletics, United States, silver, 1
2008, Football / Soccer, Bulgaria, bronze, 5
2004, Gymnastics, Bulgaria, silver, 0
2016, Synchronized Swimming, Commonwealth of Independent States, gold, 2
2008, Tennis, West Germany, silver, 1
2004, Volleyball, Poland, gold, 6
2008, Swimming, Hungary, bronze, 0
2008, Football / Soccer, Australia, gold, 3
2004, Football / Soccer, Sweden, gold, 1
2008, Cycling, Soviet Union, silver, 2
2008, Cycling, Czechoslovakia, bronze, 3
2012, Cycling, Czechoslovakia, gold, 0
2016, Athletics, East Germany, silver, 5
2012, Modern Pentathlon, Netherlands, silver, 4
16, Football / Soccer, Cuba, gold, 2
2016, Athletics, Belgium, bronze, 1
12, Cycling, Italy, gold, 1
2004, Tennis, Bulgaria, gold, 6
2016, Modern Pentathlon, Soviet Union, b, 3
2004, Gymnastics, Czechoslovakia, silver, 2
2016, Volleyball, Denemark, silver, 3
2012, Swimming, Norway, silver, 0
2012, Synchronized Swimming, Turkey, bronze, 4
2016, Swimming, Czechoslovakia, gold, 0
2016, Gymnastics, Canada, silver, 0
2008, Cycling, Commonwealth of Independent States, silver, 5
2016, Football / Soccer, Turkey, silver, 5
2004, Synchronized Swimming, Norway, bronze, 3
2016, Volleyball, Switzerland, gold, 0
2004, Athletics, Russia, gold, 0
2016, Synchronized Swimming, Commonwealth of Independent States, bronze, 6
2012, Volleyball, East Germany, silver, 2
2008, Cycling, Hungary, b, 6
2004, Synchronized Swimming, Norway, silver, 6
2008, Cycling, Netherlands, bronze, 6
2008, Athletics, Switzerland, bronze, 2
2008, Cycling, Netherlands, gold, 0
2008, Gymnastics, East Germany, silver, 1
2008, Synchronized Swimming, United States, silver, 4
2016, Modern Pentathlon, Canada, s, 3
2008, Synchronized Swimming, South Korea, bronze, 6
2008, Volleyball, Denemark, gold, 2
2008, Athletics, Italy, gold, 6
2008, Tennis, France, bronze, 4
2016, Synchronized Swimming, Norway, silver, 5
2016, Swimming, Russia, g, 0
2008, Synchronized Swimming, Italy, bronze, 0
2008, Modern Pentathlon, Poland, gold, 3
2008, Swimming, Commonwealth of Independent States, bronze, 1
2016, Cycling, Poland, silver, 5
2016, Gymnastics, Turkey, bronze, 3
2008, Football / Soccer, Cuba, gold, 0
2012, Gymnastics, Soviet Union, silver, 2
2004, Rowing, Romania, silver, 6
2004, Modern Pentathlon, Switzerland, bronze, 5
2012, Football / Soccer, Turkey, gold, 6
2012, Synchronized Swimming, Great Britain, s, 4
2016, Rowing, Netherlands, gold, 3
2004, Tennis, Italy, silver, 2
2008, Athletics, Soviet Union, silver, 3
2012, Rowing, Denemark, bronze, 6
2008, Rowing, United States, gold, 2
2016, Swimming, Hungary, silver, 1
2012, Football / Soccer, Sweden, gold, 0
2012, Swimming, Poland, bronze, 0
2008, Rowing, Czechoslovakia, gold, 5
2012, Rowing, Japan, silver, 3
2016, Cycling, Soviet Union, gold, 0
2016, Modern Pentathlon, United States, bronze, 3
2016, Football / Soccer, Sweden, silver, 2
2004, Gymnastics, France, bronze, 6
2012, Athletics, Australia, gold, 3
2016, Volleyball, Bulgaria, gold, 6
2016, Swimming, Czechoslovakia, bronze, 6
2008, Modern Pentathlon, Czechoslovakia, gold, 2
2004, Athletics, Hungary, gold, 1
2008, Cycling, France, silver, 1
16, Tennis, East Germany, gold, 4
2008, Football / Soccer, Denemark, silver, 2
2016, Swimming, Commonwealth of Independent States, bronze, 0
2008, Volleyball, France, gold, 5
2016, Volleyball, Commonwealth of Independent States, silver, 0
2008, Cycling, Romania, bronze, 5
2012, Tennis, Canada, silver, 5
2008, Cycling, Commonwealth of Independent States, bronze, 6
2004, Athletics, Canada, bronze, 5
2012, Tennis, Denemark, gold, 3
2008, Rowing, Norway, bronze, 0
2008, Gymnastics, Turkey, gold, 6
2012, Volleyball, Sweden, gold, 1
2008, Gymnastics, Bulgaria, gold, 6
2008, Gymnastics, China, bronze, 4
2012, Swimming, Finland, bronze, 2
2016, Volleyball, Romania, gold, 4
2012, Athletics, Denemark, bronze, 5
2012, Cycling, Soviet Union, gold, 2
2012, Swimming, United States, bronze, 2
2004, Tennis, Russia, gold, 1
2008, Football / Soccer, Canada, bronze, 6
2004, Tennis, South Korea, bronze, 3
2016, Swimming, Belgium, bronze, 6
2004, Tennis, Commonwealth of Independent States, bronze, 3
2012, Swimming, Soviet Union, silver, 2
2016, Rowing, Russia, gold, 5
2016, Rowing, Australia, gold, 2
2004, Rowing, Sweden, bronze, 0
2008, Gymnastics, South Korea, bronze, 3
2008, Synchronized Swimming, Finland, bronze, 6
2004, Cycling, Turkey, gold, 1
2016, Swimming, Sweden, gold, 1
2016, Athletics, South Korea, gold, 3
2008, Modern Pentathlon, Belgium, bronze, 5
2008, Swimming, Romania, gold, 5
2016, Volleyball, East Germany, silver, 6
2012, Swimming, Italy, gold, 3
2004, Cycling, China, silver, 0
2004, Football / Soccer, East Germany, gold, 5
2016, Cycling, Cuba, gold, 0
2004, Rowing, East Germany, silver, 1
2008, Athletics, Poland, silver, 3
2016, Synchronized Swimming, East Germany, bronze, 2
2012, Football / Soccer, France, b, 0
2008, Swimming, Soviet Union, gold, 4
2008, Rowing, Romania, bronze, 0
2012, Cycling, Sweden, bronze, 1
2008, Volleyball, Turkey, silver, 6
2008, Athletics, Sweden, silver, 2
2008, Volleyball, Turkey, gold, 2
2012, Volleyball, Canada, bronze, 3
8, Athletics, Norway, bronze, 4
16, Football / Soccer, Sweden, gold, 5
2016, Volleyball, West Germany, gold, 4
2012, Athletics, Australia, bronze, 3
2004, Volleyball, Soviet Union, silver, 6
4, Synchronized Swimming, Bulgaria, gold, 2
2008, Cycling, China, bronze, 1
2004, Swimming, Bulgaria, silver, 0
2012, Athletics, United States, silver, 3
2012, Swimming, Great Britain, silver, 5
2008, Athletics, Germany, bronze, 3
2016, Cycling, West Germany, silver, 1
2008, Synchronized Swimming, Sweden, silver, 1
2012, Tennis, Poland, bronze, 6
2004, Volleyball, Commonwealth of Independent States, bronze, 0
2004, Gymnastics, Soviet Union, bronze, 4
2004, Athletics, Netherlands, bronze, 1
2004, Swimming, Soviet Union, bronze, 1
2012, Modern Pentathlon, Sweden, gold, 2
2004, Gymnastics, Germany, bronze, 2
2012, Gymnastics, Commonwealth of Independent States, silver, 5
2008, Swimming, France, bronze, 3
8, Tennis, Soviet Union, gold, 2
2008, Swimming, Hungary, gold, 2
2004, Athletics, Australia, silver, 4
2012, Rowing, Russia, gold, 6
2004, Cycling, Germany, bronze, 0
2004, Volleyball, Italy, gold, 5
2016, Gymnastics, Finland, silver, 1
2004, Rowing, France, bronze, 0
2008, Gymnastics, Norway, silver, 1
2012, Synchronized Swimming, Romania, silver, 1
2008, Rowing, Finland, silver, 0
2016, Football / Soccer, Italy, gold, 2
2016, Rowing, Cuba, silver, 0
2016, Football / Soccer, Hungary, silver, 4
2008, Football / Soccer, Belgium, silver, 4
2016, Athletics, Bulgaria, b, 0
2016, Tennis, Norway, silver, 3
2012, Volleyball, Russia, bronze, 0
2012, Gymnastics, West Germany, bronze, 0
2004, Tennis, United States, silver, 6
2012, Athletics, Czechoslovakia, silver, 3
2016, Athletics, Switzerland, gold, 4
2012, Modern Pentathlon, Russia, gold, 2
2012, Tennis, Germany, gold, 2
2004, Swimming, Denemark, bronze, 2
2016, Modern Pentathlon, China, gold, 1
2016, Rowing, East Germany, silver, 5
2008, Cycling, Austria, bronze, 6
2008, Tennis, Australia, bronze, 0
2008, Modern Pentathlon, Turkey, silver, 5
2008, Gymnastics, Japan, bronze, 1
2004, Volleyball, Austria, gold, 4
2012, Swimming, Russia, silver, 0
2004, Rowing, Belgium, bronze, 5
2008, Rowing, Poland, bronze, 4
2008, Volleyball, Czechoslovakia, silver, 6
2008, Rowing, Bulgaria, silver, 2
2008, Athletics, Australia, gold, 3
2004, Modern Pentathlon, Belgium, gold, 4
2004, Athletics, Sweden, silver, 4
2016, Rowing, Bulgaria, gold, 1
2016, Athletics, Poland, silver, 2
2004, Volleyball, Great Britain, silver, 5
2012, Swimming, Turkey, gold, 4
2012, Rowing, Finland, silver, 0
2012, Synchronized Swimming, Hungary, bronze, 1
2008, Tennis, Sweden, gold, 0
2008, Swimming, France, gold, 6
4, Gymnastics, Czechoslovakia, gold, 5
2008, Tennis, United States, gold, 6
2016, Swimming, South Korea, gold, 4
2012, Gymnastics, West Germany, silver, 2
2008, Synchronized Swimming, Switzerland, gold, 6
2016, Athletics, Soviet Union, bronze, 3
2008, Cycling, Cuba, bronze, 5
2012, Rowing, Norway, bronze, 2
2012, Football / Soccer, Australia, gold, 6
8, Rowing, China, gold, 5
2016, Swimming, Commonwealth of Independent States, silver, 6
2012, Volleyball, China, silver, 4
2016, Football / Soccer, Turkey, bronze, 4
2016, Synchronized Swimming, Finland, silver, 2
2004, Tennis, France, silver, 6
2012, Volleyball, Belgium, silver, 1
2004, Swimming, Germany, silver, 4
2008, Synchronized Swimming, Bulgaria, bronze, 1
2004, Volleyball, Australia, gold, 3
2012, Cycling, Bulgaria, bronze, 5
2016, Volleyball, United States, gold, 3
2008, Modern Pentathlon, Cuba, bronze, 4
2004, Swimming, Netherlands, silver, 5
2016, Synchronized Swimming, Poland, gold, 5
2004, Cycling, Sweden, silver, 4
2004, Synchronized Swimming, Norway, gold, 1
2008, Gymnastics, Sweden, bronze, 1
2004, Synchronized Swimming, Great Britain, silver, 4
2016, Rowing, Japan, g, 1
2004, Synchronized Swimming, Turkey, gold, 0
2016, Volleyball, Soviet Union, bronze, 0
2008, Tennis, Canada, bronze, 6
2016, Modern Pentathlon, United States, silver, 1
2004, Cycling, South Korea, silver, 5
2004, Rowing, Austria, silver, 5
2008, Football / Soccer, Commonwealth of Independent States, gold, 0
2016, Tennis, Czechoslovakia, silver, 0
2004, Gymnastics, Poland, silver, 1
2008, Athletics, United States, gold, 5
2004, Synchronized Swimming, Sweden, gold, 3
2012, Cycling, Norway, bronze, 6
2016, Modern Pentathlon, Turkey, gold, 5
2012, Rowing, Turkey, silver, 5
2012, Modern Pentathlon, Sweden, bronze, 4
2008, Cycling, South Korea, silver, 2
2004, Cycling, Canada, bronze, 0
2016, Volleyball, Hungary, silver, 6
2004, Cycling, Japan, silver, 3
2004, Football / Soccer, Romania, bronze, 1
2008, Athletics, Netherlands, silver, 1
2016, Modern Pentathlon, Bulgaria, bronze, 0
2008, Swimming, Germany, bronze, 4
2012, Swimming, China, gold, 4
2004, Rowing, Czechoslovakia, b, 1
2008, Modern Pentathlon, East Germany, bronze, 0
2016, Tennis, Norway, gold, 4
2008, Cycling, East Germany, silver, 6
2012, Volleyball, Great Britain, s, 1
2008, Modern Pentathlon, Turkey, gold, 3
2012, Gymnastics, Great Britain, silver, 3
2016, Swimming, Netherlands, silver, 5
2016, Cycling, East Germany, gold, 5
2012, Tennis, China, bronze, 3
2012, Cycling, East Germany, silver, 0
2012, Volleyball, Japan, gold, 1
2004, Volleyball, Italy, silver, 6
2012, Athletics, China, bronze, 0
2012, Tennis, France, silver, 3
2008, Tennis, Norway, silver, 2
2012, Synchronized Swimming, Austria, gold, 5
16, Modern Pentathlon, Italy, bronze, 2
2012, Volleyball, Soviet Union, bronze, 4
2008, Cycling, West Germany, bronze, 3
2012, Modern Pentathlon, Norway, bronze, 0
2008, Modern Pentathlon, Denemark, bronze, 1
2008, Volleyball, South Korea, bronze, 5
2004, Gymnastics, Belgium, silver, 5
2012, Modern Pentathlon, France, gold, 2
2008, Rowing, Hungary, bronze, 6
2016, Volleyball, Austria, bronze, 3
2004, Athletics, Australia, bronze, 1
2016, Athletics, Austria, bronze, 6
2012, Football / Soccer, Austria, bronze, 0
2016, Modern Pentathlon, Italy, gold, 4
2004, Tennis, Soviet Union, gold, 0
2004, Gymnastics, Commonwealth of Independent States, silver, 3
2004, Rowing, Sweden, silver, 6
2008, Rowing, Switzerland, bronze, 2
2004, Volleyball, Japan, silver, 2
2004, Gymnastics, Switzerland, silver, 1
2008, Volleyball, Switzerland, bronze, 6
2008, Swimming, Turkey, gold, 1
2016, Gymnastics, Poland, bronze, 3
2004, Athletics, France, bronze, 3
2008, Athletics, Commonwealth of Independent States, bronze, 4
2012, Athletics, Russia, bronze, 6
2008, Athletics, Italy, silver, 5
16, Athletics, Hungary, silver, 5
2012, Gymnastics, United States, bronze, 1
2004, Synchronized Swimming, Romania, g, 6
2016, Football / Soccer, Romania, silver, 5
2004, Cycling, France, bronze, 4
2012, Tennis, Netherlands, gold, 2
2008, Cycling, East Germany, gold, 5
2008, Rowing, Hungary, silver, 3
2004, Cycling, Belgium, bronze, 4
2004, Football / Soccer, Soviet Union, bronze, 0
2008, Gymnastics, Czechoslovakia, bronze, 5
2016, Athletics, Netherlands, bronze, 6
2008, Synchronized Swimming, Romania, gold, 0
2012, Gymnastics, Russia, silver, 1
2004, Modern Pentathlon, Turkey, gold, 2
2016, Athletics, South Korea, silver, 1
2016, Modern Pentathlon, Cuba, silver, 2
2004, Swimming, Austria, gold, 6
2012, Cycling, Great Britain, gold, 1
2016, Synchronized Swimming, Bulgaria, silver, 2
2008, Modern Pentathlon, Japan, silver, 2
2008, Rowing, Italy, bronze, 0
2004, Gymnastics, Turkey, silver, 6
2004, Volleyball, China, gold, 2
2008, Football / Soccer, Commonwealth of Independent States, silver, 2
2016, Synchronized Swimming, Canada, gold, 3
2016, Tennis, United States, bronze, 5
2012, Gymnastics, Germany, silver, 2
2008, Volleyball, Australia, silver, 4
2012, Volleyball, Great Britain, bronze, 4
2008, Athletics, Hungary, silver, 0
2004, Athletics, Turkey, bronze, 3
2008, Swimming, China, silver, 5
2004, Football / Soccer, Finland, silver, 2
2012, Synchronized Swimming, East Germany, silver, 5
2004, Volleyball, Bulgaria, bronze, 2
2004, Tennis, United States, gold, 4
2016, Rowing, Commonwealth of Independent States, silver, 2
2012, Football / Soccer, Bulgaria, bronze, 1
2016, Swimming, Australia, gold, 3
2016, Swimming, Soviet Union, gold, 5
2004, Cycling, West Germany, bronze, 1
2012, Football / Soccer, Denemark, gold, 4
2016, Rowing, United States, gold, 0
2012, Gymnastics, Great Britain, bronze, 4
2016, Synchronized Swimming, United States, silver, 6
2016, Tennis, Sweden, silver, 4
2012, Gymnastics, Romania, silver, 6
2012, Athletics, Finland, gold, 3
2012, Modern Pentathlon, Belgium, silver, 6
2004, Athletics, Switzerland, silver, 0
2012, Cycling, Hungary, bronze, 5
2012, Synchronized Swimming, Switzerland, silver, 0
2012, Cycling, Sweden, silver, 0
2012, Modern Pentathlon, Russia, bronze, 0
2004, Volleyball, Denemark, silver, 5
2016, Cycling, South Korea, gold, 2
2008, Cycling, Germany, silver, 1
2004, Gymnastics, Norway, gold, 0
2016, Swimming, Canada, silver, 2
2012, Cycling, Italy, bronze, 1
2008, Swimming, France, silver, 1
2008, Modern Pentathlon, Norway, silver, 4
2004, Athletics, West Germany, bronze, 2
2012, Synchronized Swimming, Russia, silver, 4
2012, Volleyball, Italy, silver, 1
2012, Synchronized Swimming, Soviet Union, gold, 2
2008, Volleyball, Soviet Union, gold, 2
2004, Volleyball, France, bronze, 2
2004, Volleyball, Norway, gold, 1
2004, Cycling, Turkey, silver, 2
2008, Swimming, Finland, gold, 5
2012, Volleyball, Germany, bronze, 4
2004, Athletics, Switzerland, gold, 6
2012, Athletics, Denemark, gold, 1
2008, Gymnastics, Great Britain, bronze, 5
2004, Synchronized Swimming, Japan, silver, 0
2004, Synchronized Swimming, South Korea, gold, 1
2016, Tennis, Hungary, b, 3
2008, Swimming, West Germany, gold, 5
2008, Rowing, East Germany, gold, 3
2016, Tennis, Austria, bronze, 1
2016, Cycling, China, gold, 6
2012, Swimming, United States, gold, 2
2008, Rowing, Turkey, bronze, 1
2004, Modern Pentathlon, Sweden, bronze, 4
2004, Cycling, Soviet Union, silver, 0
2016, Gymnastics, Canada, bronze, 4
2016, Synchronized Swimming, Soviet Union, bronze, 4
2016, Cycling, Commonwealth of Independent States, gold, 6
2016, Synchronized Swimming, South Korea, gold, 6
2016, Modern Pentathlon, Netherlands, silver, 1
2016, Volleyball, France, bronze, 4
2012, Modern Pentathlon, East Germany, silver, 1
2016, Modern Pentathlon, United States, gold, 3
2008, Rowing, East Germany, bronze, 5
2016, Synchronized Swimming, Austria, b, 5
2016, Rowing, Italy, bronze, 5
2012, Athletics, Norway, silver, 2
2012, Football / Soccer, Italy, gold, 2
2004, Volleyball, Russia, bronze, 0
2016, Rowing, Russia, silver, 1
2012, Gymnastics, Belgium, b, 4
2008, Football / Soccer, Japan, bronze, 4
2012, Modern Pentathlon, Czechoslovakia, silver, 6
2016, Volleyball, Italy, bronze, 6
2012, Synchronized Swimming, Finland, silver, 6
4, Modern Pentathlon, Norway, silver, 4
2004, Synchronized Swimming, Czechoslovakia, gold, 4
2004, Synchronized Swimming, Switzerland, bronze, 3
2016, Football / Soccer, Italy, silver, 2
4, Volleyball, Netherlands, bronze, 2
2004, Gymnastics, Japan, bronze, 5
2004, Football / Soccer, United States, gold, 2
2004, Synchronized Swimming, Turkey, bronze, 6
2008, Cycling, Great Britain, silver, 6
2004, Athletics, France, silver, 6
2008, Athletics, Finland, gold, 6
2016, Athletics, Italy, bronze, 1
2004, Football / Soccer, Commonwealth of Independent States, gold, 1
2012, Athletics, Turkey, bronze, 3
2012, Rowing, Romania, gold, 6
2008, Rowing, West Germany, silver, 4
2008, Athletics, Hungary, bronze, 1
2016, Football / Soccer, Germany, silver, 3
2004, Rowing, Hungary, silver, 1
2004, Modern Pentathlon, Turkey, silver, 2
2008, Athletics, Poland, bronze, 5
2012, Rowing, South Korea, gold, 4
2016, Swimming, Finland, bronze, 1
2012, Volleyball, Poland, bronze, 2
2008, Athletics, China, bronze, 5
2016, Cycling, Sweden, silver, 3
2016, Athletics, Switzerland, silver, 2
2004, Modern Pentathlon, Commonwealth of Independent States, gold, 0
2004, Athletics, Japan, gold, 0
2004, Football / Soccer, East Germany, silver, 5
2008, Cycling, Japan, gold, 2
2004, Synchronized Swimming, Finland, gold, 2
2004, Synchronized Swimming, France, silver, 1
2012, Cycling, Poland, bronze, 2
2008, Synchronized Swimming, Netherlands, silver, 0
2004, Rowing, Poland, silver, 1
2012, Rowing, Bulgaria, bronze, 5
2004, Synchronized Swimming, Bulgaria, silver, 5
2008, Tennis, Poland, silver, 4
2012, Gymnastics, Italy, silver, 0
2012, Volleyball, China, bronze, 5
2016, Swimming, Bulgaria, gold, 3
12, Tennis, Cuba, gold, 1
2004, Gymnastics, United States, gold, 6
2004, Tennis, Poland, gold, 0
2008, Rowing, Commonwealth of Independent States, bronze, 6
2008, Modern Pentathlon, Australia, bronze, 4
2004, Cycling, China, gold, 2
2008, Rowing, Great Britain, silver, 2
2012, Volleyball, Netherlands, gold, 3
2016, Swimming, West Germany, gold, 2
2008, Cycling, Japan, silver, 3
2012, Cycling, Finland, silver, 3
2012, Football / Soccer, Norway, gold, 5
2004, Gymnastics, Italy, silver, 0
2012, Football / Soccer, Hungary, bronze, 2
2008, Cycling, Sweden, silver, 2
2016, Volleyball, East Germany, gold, 3
2012, Athletics, Belgium, silver, 6
2004, Swimming, Poland, gold, 0
2008, Athletics, Czechoslovakia, silver, 5
2016, Football / Soccer, United States, silver, 4
2012, Tennis, United States, bronze, 4
2012, Swimming, Czechoslovakia, silver, 4
2012, Volleyball, Switzerland, gold, 6
2012, Swimming, Switzerland, silver, 4
2008, Swimming, China, bronze, 2
2008, Cycling, Great Britain, gold, 6
2004, Gymnastics, Romania, silver, 6
2004, Gymnastics, Canada, gold, 1
2012, Tennis, Germany, silver, 4
2016, Modern Pentathlon, Germany, gold, 4
2016, Volleyball, United States, bronze, 6
2004, Swimming, Russia, bronze, 5
2016, Rowing, France, bronze, 2
2004, Modern Pentathlon, Russia, silver, 2
2016, Volleyball, Norway, silver, 5
2004, Rowing, Czechoslovakia, silver, 4
2012, Rowing, Japan, bronze, 6
2016, Football / Soccer, Canada, gold, 5
2004, Synchronized Swimming, Canada, bronze, 0
2016, Tennis, Italy, silver, 6
2016, Synchronized Swimming, Czechoslovakia, silver, 1
2012, Rowing, Czechoslovakia, gold, 2
2016, Athletics, Australia, silver, 1
2016, Swimming, Norway, g, 4
2012, Rowing, Australia, bronze, 5
2008, Rowing, Russia, gold, 6
2008, Athletics, Soviet Union, gold, 6
4, Gymnastics, East Germany, silver, 2
2008, Gymnastics, East Germany, gold, 1
2012, Swimming, Sweden, gold, 4
2008, Synchronized Swimming, Czechoslovakia, silver, 3
2008, Football / Soccer, United States, gold, 2
2004, Volleyball, China, silver, 5
2008, Football / Soccer, Austria, bronze, 5
2008, Synchronized Swimming, China, silver, 3
2008, Athletics, Cuba, gold, 4
2008, Modern Pentathlon, Germany, gold, 3
2012, Volleyball, Commonwealth of Independent States, bronze, 3
2004, Volleyball, Finland, gold, 2
2012, Tennis, Poland, silver, 3
2012, Swimming, Netherlands, silver, 2
2004, Volleyball, South Korea, bronze, 1
2004, Rowing, Russia, s, 0
2008, Tennis, Denemark, bronze, 3
2016, Synchronized Swimming, Canada, bronze, 5
2012, Modern Pentathlon, China, silver, 2
2008, Synchronized Swimming, Austria, gold, 5
2008, Synchronized Swimming, China, bronze, 0
2012, Tennis, Italy, silver, 4
2012, Cycling, China, silver, 4
2004, Football / Soccer, Romania, silver, 1
2012, Football / Soccer, Cuba, gold, 0
2008, Athletics, Turkey, bronze, 5
2008, Volleyball, Turkey, bronze, 6
2008, Modern Pentathlon, Norway, bronze, 0
2016, Modern Pentathlon, China, bronze, 0
2004, Swimming, Hungary, silver, 2
2008, Rowing, Netherlands, bronze, 1
2012, Athletics, West Germany, silver, 5
2012, Tennis, Russia, g, 5
2008, Cycling, Austria, gold, 1
2008, Synchronized Swimming, Russia, silver, 3
2004, Football / Soccer, Great Britain, gold, 5
2016, Rowing, West Germany, silver, 0
2012, Athletics, Belgium, gold, 2
2004, Synchronized Swimming, Finland, silver, 6
2016, Tennis, Russia, bronze, 5
2016, Swimming, West Germany, silver, 0
2012, Modern Pentathlon, Australia, bronze, 4
2012, Modern Pentathlon, Finland, bronze, 5
2016, Football / Soccer, Japan, bronze, 3
2012, Synchronized Swimming, Italy, bronze, 3
2004, Swimming, Cuba, silver, 5
2012, Football / Soccer, Denemark, bronze, 4
2008, Volleyball, Canada, gold, 2
2016, Tennis, Austria, silver, 6
2008, Volleyball, East Germany, silver, 3
2008, Athletics, Czechoslovakia, bronze, 0
2016, Tennis, Italy, gold, 5
2016, Football / Soccer, Russia, gold, 3
2016, Swimming, Cuba, silver, 5
2012, Volleyball, Soviet Union, gold, 4
2004, Tennis, Australia, gold, 5
2016, Rowing, Denemark, silver, 6
2016, Cycling, China, silver, 0
2004, Modern Pentathlon, China, bronze, 1
2016, Gymnastics, Switzerland, silver, 5
2004, Athletics, Denemark, silver, 2
2008, Rowing, Commonwealth of Independent States, gold, 5
2016, Swimming, Belgium, silver, 0
2004, Athletics, China, gold, 1
2012, Cycling, China, bronze, 2
2008, Gymnastics, Turkey, silver, 6
2008, Athletics, Russia, gold, 4
2016, Gymnastics, East Germany, bronze, 5
2012, Tennis, Switzerland, silver, 2
2016, Synchronized Swimming, Sweden, silver, 1
2012, Athletics, Great Britain, silver, 0
2012, Swimming, Denemark, silver, 1
2016, Volleyball, France, gold, 6
2012, Cycling, Norway, gold, 3
2008, Cycling, Australia, gold, 4
2004, Volleyball, Poland, bronze, 2
2008, Synchronized Swimming, Netherlands, gold, 3
2008, Swimming, Russia, bronze, 6
2004, Synchronized Swimming, Turkey, silver, 3
2012, Swimming, Great Britain, bronze, 4
2016, Athletics, Poland, gold, 5
2008, Gymnastics, France, silver, 2
2016, Synchronized Swimming, Turkey, silver, 3
2016, Football / Soccer, Switzerland, gold, 6
2012, Modern Pentathlon, Romania, bronze, 3
2004, Cycling, Australia, b, 5
2004, Athletics, Commonwealth of Independent States, silver, 0
2004, Synchronized Swimming, Soviet Union, silver, 1
2008, Football / Soccer, Italy, silver, 2
2012, Modern Pentathlon, France, silver, 0
2008, Synchronized Swimming, France, gold, 2
2008, Cycling, Czechoslovakia, gold, 5
2008, Cycling, United States, gold, 3
2012, Cycling, United States, gold, 0
2016, Modern Pentathlon, Germany, bronze, 5
2012, Modern Pentathlon, Romania, gold, 6
2008, Football / Soccer, Denemark, bronze, 0
2012, Modern Pentathlon, Czechoslovakia, bronze, 1
2008, Synchronized Swimming, West Germany, gold, 3
2008, Athletics, South Korea, bronze, 4
2004, Synchronized Swimming, Austria, bronze, 1
2012, Volleyball, West Germany, gold, 3
2004, Athletics, Great Britain, bronze, 1
2004, Rowing, Great Britain, gold, 0
2004, Tennis, Belgium, gold, 1
2004, Football / Soccer, Finland, gold, 5
2008, Football / Soccer, Italy, gold, 5
2012, Swimming, Bulgaria, gold, 1
2008, Tennis, Romania, bronze, 2
2012, Gymnastics, Finland, bronze, 0
2004, Cycling, Czechoslovakia, silver, 5
2008, Athletics, Great Britain, bronze, 0
2012, Modern Pentathlon, Italy, bronze, 5
2016, Volleyball, Austria, gold, 3
2012, Rowing, Germany, silver, 5
2008, Athletics, Denemark, bronze, 6
2004, Athletics, Poland, gold, 4
2008, Swimming, United States, silver, 5
